Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470pF,C_0603_1608Metric,78.6768,-99.2124,0,top
C2,470pF,C_0603_1608Metric,78.8924,-96.3168,0,top
C3,10nF,C_0402_1005Metric,73.9648,-106.2762,-90,top
C4,22nF,C_0805_2012Metric,69.3776,-108.6612,180,top
C5,6.8nF,C_0603_1608Metric,86.614,-103.759,180,top
C6,33nF,C_0805_2012Metric,86.7258,-108.4326,0,top
C7,0.1uF,C_0805_2012Metric,77.3426,-94.3444,180,top
C8,0.1uF,C_0805_2012Metric,95.9612,-95.1586,-90,top
C10,0.1uF,C_0805_2012Metric,93.3348,-108.204,0,top
C11,0.1uF,C_0805_2012Metric,77.089,-105.8062,90,top
C12,0.1uF,C_0805_2012Metric,87.1474,-94.488,180,top
D1,D_Zener,D_SOD-523,103.4034,-84.5424,90,top
D2,D_Zener,D_SOD-523,74.484,-83.7692,0,top
D3,D_Zener,D_SOD-523,81.4974,-83.7692,180,top
J1,Conn_01x04_Socket,PinSocket_2x02_P2.54mm_Vertical,59.0296,-87.8332,180,top
J4,Conn_01x06_Socket,PinSocket_2x03_P2.54mm_Vertical,104.0588,-97.7486,-90,top
J7,Conn_01x06_Pin,PinHeader_2x03_P2.54mm_Vertical,64.0182,-105.279,-90,top
L1,L_Ferrite,IND_BLM15_1P05X0P55X0P55_MUR,100.4443,-83.8708,180,top
L2,L_Ferrite,IND_BLM15_1P05X0P55X0P55_MUR,68.0593,-83.693,0,top
R1,10kR,R_0402_1005Metric,102.872,-86.7664,0,top
R2,10kR,R_0402_1005Metric,73.8124,-86.2564,90,top
R3,2.2kR,R_0402_1005Metric,95.9378,-83.8962,180,top
R4,2.2kR,R_0402_1005Metric,65.28,-83.693,180,top
R5,330R,R_0402_1005Metric,88.0872,-86.3072,90,top
R6,10MR,R_0402_1005Metric,76.2102,-98.8388,90,top
R7,10MR,R_0402_1005Metric,76.2102,-96.4044,90,top
R8,10MR,R_0402_1005Metric,81.0407,-99.0727,90,top
R9,10MR,R_0402_1005Metric,81.0768,-96.649,90,top
R10,27kR,R_0402_1005Metric,72.4388,-108.6612,180,top
R11,27kR,R_0402_1005Metric,72.517,-106.2756,90,top
R12,100R,R_0402_1005Metric,97.0026,-106.3264,90,top
R13,100R,R_0402_1005Metric,89.2556,-106.4494,90,top
R14,150kR,R_0402_1005Metric,79.4562,-105.537,-90,top
R15,12kR,R_0402_1005Metric,89.8754,-96.2734,-90,top
R16,12kR,R_0402_1005Metric,82.9798,-94.3356,180,top
R19,150kR,R_0402_1005Metric,84.1502,-108.7374,90,top
R20,150kR,R_0402_1005Metric,79.4562,-107.5924,-90,top
R21,10k,R_0402_1005Metric,73.3318,-103.632,0,top
R22,10k,R_0402_1005Metric,75.2602,-105.2596,-90,top
R23,10k,R_0402_1005Metric,89.3786,-98.425,0,top
R24,10k,R_0402_1005Metric,91.7936,-98.425,0,top
U1,LPV821DBVR,SOT95P280X145-5N,69.6064,-105.6792,0,top
U2,INA333xxDGK,VSSOP-8_3x3mm_P0.65mm,93.1672,-104.8512,180,top
U3,LPV821DBVR,SOT95P280X145-5N,82.7686,-106.0024,180,top
U5,LPV821DBVR,SOT95P280X145-5N,92.659,-95.173,0,top
U6,LPV821DBVR,SOT95P280X145-5N,85.4052,-97.2718,0,top
U7,TPD2E001DRLR,DRL5-L,64.635801,-96.515501,90,top
U8,TLV8542DR,SOIC127P599X175-8N,70.5398,-96.4532,0,top
